00 00 - add [rax], al
00 01 - add [rcx], al
00 02 - add [rdx], al
00 03 - add [rbx], al
00 04 00 - add [rax + rax], al
00 04 01 - add [rcx + rax], al
00 04 02 - add [rdx + rax], al
00 04 03 - add [rbx + rax], al
00 04 04 - add [rsp + rax], al
00 04 05 xx xx xx xx - add [rax + x], al
00 04 06 - add [rsi + rax], al
00 04 07 - add [rdi + rax], al
00 04 08 - add [rax + rcx], al
00 04 09 - add [rcx + rcx], al
00 04 0a - add [rdx + rcx], al
00 04 0b - add [rbx + rcx], al
00 04 0c - add [rsp + rcx], al
00 04 0d xx xx xx xx - add [rcx + x], al
00 04 0e - add [rsi + rcx], al
00 04 0f - add [rdi + rcx], al
00 04 10 - add [rax + rdx], al
00 04 11 - add [rcx + rdx], al
00 04 12 - add [rdx + rdx], al
00 04 13 - add [rbx + rdx], al
00 04 14 - add [rsp + rdx], al
00 04 15 xx xx xx xx - add [rdx + x], al
00 04 16 - add [rsi + rdx], al
00 04 17 - add [rdi + rdx], al
00 04 18 - add [rax + rbx], al
00 04 19 - add [rcx + rbx], al
00 04 1a - add [rdx + rbx], al
00 04 1b - add [rbx + rbx], al
00 04 1c - add [rsp + rbx], al
00 04 1d xx xx xx xx - add [rbx + x], al
00 04 1e - add [rsi + rbx], al
00 04 1f - add [rdi + rbx], al
00 04 20 - add [rax], al
00 04 21 - add [rcx], al
00 04 22 - add [rdx], al
00 04 23 - add [rbx], al
00 04 24 - add [rsp], al
00 04 25 xx xx xx xx - add [x], al
00 04 26 - add [rsi], al
00 04 27 - add [rdi], al
00 04 28 - add [rax + rbp], al
00 04 29 - add [rcx + rbp], al
00 04 2a - add [rdx + rbp], al
00 04 2b - add [rbx + rbp], al
00 04 2c - add [rsp + rbp], al
00 04 2d xx xx xx xx - add [rbp + x], al
00 04 2e - add [rsi + rbp], al
00 04 2f - add [rdi + rbp], al
00 04 30 - add [rax + rsi], al
00 04 31 - add [rcx + rsi], al
00 04 32 - add [rdx + rsi], al
00 04 33 - add [rbx + rsi], al
00 04 34 - add [rsp + rsi], al
00 04 35 xx xx xx xx - add [rsi + x], al
00 04 36 - add [rsi + rsi], al
00 04 37 - add [rdi + rsi], al
00 04 38 - add [rax + rdi], al
00 04 39 - add [rcx + rdi], al
00 04 3a - add [rdx + rdi], al
00 04 3b - add [rbx + rdi], al
00 04 3c - add [rsp + rdi], al
00 04 3d xx xx xx xx - add [rdi + x], al
00 04 3e - add [rsi + rdi], al
00 04 3f - add [rdi + rdi], al
00 04 40 - add [rax + rax * 2], al
00 04 41 - add [rcx + rax * 2], al
00 04 42 - add [rdx + rax * 2], al
00 04 43 - add [rbx + rax * 2], al
00 04 44 - add [rsp + rax * 2], al
00 04 45 xx xx xx xx - add [rax * 2 + x], al
00 04 46 - add [rsi + rax * 2], al
00 04 47 - add [rdi + rax * 2], al
00 04 48 - add [rax + rcx * 2], al
00 04 49 - add [rcx + rcx * 2], al
00 04 4a - add [rdx + rcx * 2], al
00 04 4b - add [rbx + rcx * 2], al
00 04 4c - add [rsp + rcx * 2], al
00 04 4d xx xx xx xx - add [rcx * 2 + x], al
00 04 4e - add [rsi + rcx * 2], al
00 04 4f - add [rdi + rcx * 2], al
00 04 50 - add [rax + rdx * 2], al
00 04 51 - add [rcx + rdx * 2], al
00 04 52 - add [rdx + rdx * 2], al
00 04 53 - add [rbx + rdx * 2], al
00 04 54 - add [rsp + rdx * 2], al
00 04 55 xx xx xx xx - add [rdx * 2 + x], al
00 04 56 - add [rsi + rdx * 2], al
00 04 57 - add [rdi + rdx * 2], al
00 04 58 - add [rax + rbx * 2], al
00 04 59 - add [rcx + rbx * 2], al
00 04 5a - add [rdx + rbx * 2], al
00 04 5b - add [rbx + rbx * 2], al
00 04 5c - add [rsp + rbx * 2], al
00 04 5d xx xx xx xx - add [rbx * 2 + x], al
00 04 5e - add [rsi + rbx * 2], al
00 04 5f - add [rdi + rbx * 2], al
00 04 60 - add [rax], al
00 04 61 - add [rcx], al
00 04 62 - add [rdx], al
00 04 63 - add [rbx], al
00 04 64 - add [rsp], al
00 04 65 xx xx xx xx - add [x], al
00 04 66 - add [rsi], al
